dataset,feature,importance
Bike rentals,days_since_2011,2759613.3231578525
Bike rentals,temp,1691403.7145762409
Bike rentals,season,488610.6812558285
Bike rentals,hum,317491.01616625284
Bike rentals,weathersit,212477.9564783157
Bike rentals,windspeed,100421.1214946943
Bike rentals,weekday,36626.005792045646
Bike rentals,workingday,24310.940968946525
Bike rentals,holiday,2296.146437821211
House prices,sqft_living,167573441609.58124
House prices,yr_built,29469984567.874397
House prices,bathrooms,24984511633.459095
House prices,sqft_lot,13385401803.552752
House prices,floors,7642049556.496822
House prices,bedrooms,5519756161.980589
