feature,value,prediction
bedrooms,2,568957.6021916375
bedrooms,3,549886.0160165869
bedrooms,4,544347.4396401929
bedrooms,5,548505.4921719843
bedrooms,6,546613.7755610286
bathrooms,1,508292.6377524201
bathrooms,1.25,512362.50610696594
bathrooms,1.5,527008.9557602168
bathrooms,1.75,540221.3180347943
bathrooms,2,540562.5621132058
bathrooms,2.25,549581.071857985
bathrooms,2.5,546923.9407039722
bathrooms,2.75,573828.9871946735
bathrooms,3,630955.9121448443
bathrooms,3.25,648036.9023926981
bathrooms,3.5,651346.7896827372
bathrooms,3.75,672550.4429966039
bathrooms,4,699254.6909720928
bathrooms,4.25,711437.5767260706
sqft_living,709.9000000000001,350422.47373080027
sqft_living,783.4830508474577,346041.4307451336
sqft_living,857.0661016949152,364493.16054927476
sqft_living,930.6491525423728,370416.8011567776
sqft_living,1004.2322033898304,372460.53377152723
sqft_living,1077.815254237288,379483.6588721542
sqft_living,1151.3983050847455,379619.46788816445
sqft_living,1224.9813559322033,380450.34957851947
sqft_living,1298.5644067796607,387018.9205635849
sqft_living,1372.1474576271185,390684.26596325374
sqft_living,1445.7305084745758,406520.5237464279
sqft_living,1519.3135593220336,434293.85718753556
sqft_living,1592.8966101694912,434311.87548154994
sqft_living,1666.4796610169487,452586.26614110847
sqft_living,1740.0627118644063,443641.9025853552
sqft_living,1813.6457627118639,443211.26169412985
sqft_living,1887.2288135593215,458124.7394271308
sqft_living,1960.811864406779,465341.3792625742
sqft_living,2034.3949152542366,480639.1337476528
sqft_living,2107.977966101694,508374.35955490853
sqft_living,2181.561016949152,549151.7862741012
sqft_living,2255.1440677966093,573562.2479656768
sqft_living,2328.7271186440666,600553.4295894859
sqft_living,2402.3101694915244,598037.3777416272
sqft_living,2475.8932203389822,645667.5927575103
sqft_living,2549.4762711864396,665018.383518727
sqft_living,2623.0593220338974,704103.6810521452
sqft_living,2696.642372881355,695488.759850522
sqft_living,2770.2254237288125,692480.114840387
sqft_living,2843.80847457627,731426.7442749563
sqft_living,2917.3915254237277,731505.6987525328
sqft_living,2990.974576271185,741741.6830038566
sqft_living,3064.557627118643,734959.0981431114
sqft_living,3138.1406779661006,772090.8883781767
sqft_living,3211.723728813558,806872.4010762661
sqft_living,3285.3067796610158,861964.9381539709
sqft_living,3358.889830508473,896698.4591603155
sqft_living,3432.472881355931,907195.1149245155
sqft_living,3506.0559322033882,920154.4802529345
sqft_living,3579.638983050846,981576.6805557419
sqft_living,3653.2220338983034,1076074.5432237939
sqft_living,3726.805084745761,1087968.878301458
sqft_living,3800.3881355932185,1107015.0241859914
sqft_living,3873.9711864406763,1120968.3828400802
sqft_living,3947.5542372881337,1101813.6325955023
sqft_living,4021.1372881355915,1107296.4670114357
sqft_living,4094.720338983049,1117973.4972042802
sqft_living,4168.303389830507,1126722.2169825025
sqft_living,4241.886440677965,1145699.9725811912
sqft_living,4315.469491525422,1136784.1977659913
sqft_living,4389.0525423728795,1135113.9103283912
sqft_living,4462.635593220337,1132031.6107528356
sqft_living,4536.218644067794,1186355.978995169
sqft_living,4609.801694915252,1363631.6112527212
sqft_living,4683.38474576271,1374603.4686238323
sqft_living,4756.967796610167,1368505.4680949433
sqft_living,4830.550847457625,1376243.4437033879
sqft_living,4904.133898305083,1419999.7181589433
sqft_living,4977.71694915254,1474854.6908470069
sqft_living,5051.299999999998,1829694.6772069896
floors,1,543192.2766295573
floors,1.5,549230.6786463592
floors,2,555716.1858875278
floors,2.5,587431.3030554364
floors,3,625144.9508733976
